fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,color
9.0,0.43,0.3,1.5,0.05,175.0,0.9951,3.11,0.45,9.7,4,1
5.6,0.205,0.16,12.55,0.051,115.0,0.99564,3.4,0.38,10.8,6,1
10.2,0.67,0.39,1.9,0.054000000000000006,17.0,0.9976,3.17,0.47,10.0,5,0
9.5,0.735,0.1,2.1,0.079,31.0,0.9986,3.23,0.56,10.1,6,0
6.5,0.3,0.27,4.0,0.038,97.0,0.99026,3.2,0.6,12.6,8,1
7.8,0.43,0.49,13.0,0.033,158.0,0.9955,3.14,0.35,11.3,6,1
7.4,0.36,0.29,2.6,0.087,72.0,0.99645,3.39,0.68,11.0,5,0
7.4,0.44,0.2,11.5,0.049,157.0,0.998,3.27,0.44,9.0,5,1
7.9,1.04,0.05,2.2,0.084,29.0,0.9959,3.22,0.55,9.9,6,0
9.2,0.54,0.31,2.3,0.11199999999999999,38.0,0.9969899999999999,3.24,0.56,10.9,5,0
7.0,0.14,0.41,0.9,0.037000000000000005,95.0,0.9914,3.25,0.43,10.9,6,1
6.4,0.32,0.26,7.9,0.05,180.0,0.9951399999999999,3.14,0.5,9.6,5,1
6.2,0.26,0.37,7.1,0.047,201.0,0.99523,3.19,0.48,9.5,6,1
6.1,0.36,0.26,8.15,0.035,88.0,0.99031,3.06,0.27,13.0,7,1
7.5,0.51,0.02,1.7,0.084,31.0,0.9953799999999999,3.36,0.54,10.5,6,0
5.9,0.24,0.3,2.0,0.033,92.0,0.99225,3.39,0.69,10.9,7,1
8.0,0.83,0.27,2.0,0.08,63.0,0.9965200000000001,3.29,0.48,9.8,4,0
5.2,0.32,0.25,1.8,0.10300000000000001,50.0,0.9957,3.38,0.55,9.2,5,0
6.6,0.61,0.0,1.6,0.069,8.0,0.9939600000000001,3.33,0.37,10.4,4,0
8.1,0.34,0.28,7.5,0.04,230.0,0.9955799999999999,3.14,0.55,9.8,6,1
7.2,0.21,0.28,2.7,0.033,94.0,0.99075,2.99,0.43,11.8,7,1
7.8,0.19,0.26,8.9,0.039,182.0,0.996,3.18,0.46,9.9,6,1
6.8,0.28,0.36,7.0,0.043,207.0,0.99556,3.16,0.49,9.6,6,1
8.0,0.23,0.41,1.1,0.048,150.0,0.9916799999999999,3.09,0.47,11.2,5,1
7.3,0.34,0.3,9.4,0.057,178.0,0.99554,3.15,0.44,10.4,6,1
8.0,0.22,0.42,14.6,0.044000000000000004,163.0,1.0003,3.21,0.69,8.6,7,1
7.4,0.19,0.49,6.7,0.037000000000000005,110.0,0.9938,3.2,0.38,11.0,7,1
5.4,0.42,0.27,2.0,0.092,55.0,0.99471,3.78,0.64,12.3,7,0
7.3,0.69,0.32,2.2,0.069,104.0,0.9963200000000001,3.33,0.51,9.5,5,0
7.4,0.55,0.19,1.8,0.08199999999999999,34.0,0.99655,3.49,0.68,10.5,5,0
6.4,0.22,0.32,4.9,0.046,156.0,0.99316,3.38,0.55,11.2,6,1
6.6,0.26,0.46,7.8,0.047,186.0,0.9958,3.2,0.54,9.1,5,1
6.9,0.37,0.23,9.5,0.057,166.0,0.9956799999999999,3.23,0.42,10.0,5,1
7.4,0.33,0.26,15.6,0.049,210.0,0.9990700000000001,3.06,0.68,9.5,5,1
8.4,0.18,0.42,5.1,0.036000000000000004,77.0,0.9939,3.16,0.52,11.7,5,1
7.4,0.68,0.16,1.8,0.078,39.0,0.9977,3.5,0.7,9.9,6,0
9.5,0.59,0.44,2.3,0.071,68.0,0.9992,3.46,0.63,9.5,5,0
10.3,0.53,0.48,2.5,0.063,25.0,0.9998,3.12,0.59,9.3,6,0
6.5,0.18,0.41,14.2,0.039,129.0,0.9967799999999999,3.28,0.72,10.3,7,1
6.9,0.23,0.4,7.5,0.04,151.0,0.9927,3.11,0.27,11.4,6,1
5.3,0.26,0.23,5.15,0.034,160.0,0.9952,3.82,0.51,10.5,7,1
7.5,0.35,0.48,12.4,0.055999999999999994,176.5,0.99803,2.97,0.52,8.8,5,1
6.8,0.28,0.34,7.5,0.035,177.0,0.99692,3.33,0.43,9.1,5,1
7.9,0.19,0.45,1.5,0.045,96.0,0.9917,3.13,0.39,11.0,6,1
7.0,0.3,0.51,13.6,0.05,168.0,0.9976,3.07,0.52,9.6,7,1
7.5,0.2,0.41,1.2,0.05,131.0,0.9913299999999999,3.19,0.52,11.1,5,1
6.5,0.21,0.35,5.7,0.043,197.0,0.99392,3.24,0.5,10.1,6,1
7.0,0.69,0.08,1.8,0.09699999999999999,89.0,0.9959,3.34,0.54,9.2,6,0
7.1,0.18,0.39,15.25,0.047,158.0,0.99946,3.34,0.77,9.1,6,1
6.4,0.55,0.26,9.6,0.027000000000000003,104.0,0.9924,3.22,0.73,13.1,6,1
7.8,0.88,0.0,2.6,0.098,67.0,0.9968,3.2,0.68,9.8,5,0
6.6,0.25,0.3,14.4,0.052000000000000005,183.0,0.998,3.02,0.5,9.1,6,1
7.3,0.15,0.4,2.0,0.05,92.0,0.9932,3.14,0.45,10.5,5,1
7.0,0.15,0.38,2.2,0.047,96.0,0.9928,3.13,0.39,10.4,8,1
10.5,0.39,0.46,2.2,0.075,27.0,0.99598,3.06,0.84,11.4,6,0
6.6,0.15,0.32,6.0,0.033,128.0,0.99192,3.19,0.71,12.1,8,1
7.1,0.61,0.02,2.5,0.081,87.0,0.99745,3.48,0.6,9.7,6,0
10.0,0.31,0.47,2.6,0.085,33.0,0.99965,3.36,0.8,10.5,7,0
7.3,0.24,0.39,17.95,0.057,149.0,0.9999,3.21,0.36,8.6,5,1
6.2,0.785,0.0,2.1,0.06,13.0,0.99664,3.59,0.61,10.0,4,0
9.6,0.29,0.46,1.45,0.039,223.0,0.9944,2.92,0.46,9.5,6,1
6.1,0.41,0.0,1.6,0.063,87.0,0.9914,3.27,0.67,10.8,6,1
8.0,0.28,0.42,7.1,0.045,169.0,0.9959,3.17,0.43,10.6,5,1
7.0,0.57,0.0,2.0,0.19,45.0,0.9967600000000001,3.31,0.6,9.4,6,0
6.2,0.32,0.12,4.8,0.054000000000000006,97.0,0.99424,3.16,0.5,9.3,5,1
7.6,0.36,0.31,1.7,0.079,65.0,0.99716,3.46,0.62,9.5,6,0
6.3,0.29,0.3,8.1,0.212,150.0,0.9958,3.1,0.4,9.3,5,1
6.8,0.37,0.28,1.9,0.024,106.0,0.98993,3.45,0.6,12.6,8,1
6.4,0.795,0.0,2.2,0.065,52.0,0.9937799999999999,3.49,0.52,11.6,5,0
6.4,0.28,0.45,8.6,0.057,223.0,0.99654,3.16,0.51,9.1,5,1
6.6,0.325,0.49,7.7,0.049,217.0,0.996,3.16,0.4,9.3,5,1
9.8,0.5,0.34,2.3,0.094,45.0,0.99864,3.24,0.6,9.7,7,0
7.8,0.56,0.19,1.8,0.10400000000000001,47.0,0.9964,3.19,0.93,9.5,5,0
6.3,0.21,0.29,11.7,0.048,147.0,0.99482,3.22,0.38,10.8,5,1
9.0,0.55,0.3,8.1,0.026000000000000002,71.0,0.993,2.94,0.36,11.8,5,1
8.8,0.24,0.54,2.5,0.083,57.0,0.9983,3.39,0.54,9.2,5,0
6.7,0.39,0.31,2.7,0.054000000000000006,202.0,0.9948,3.46,0.57,10.5,6,1
6.3,0.24,0.22,11.9,0.05,179.0,0.99659,3.06,0.58,9.3,6,1
6.2,0.25,0.21,15.55,0.039,159.0,0.9982,3.48,0.64,9.6,6,1
6.6,0.39,0.39,11.9,0.057,221.0,0.99851,3.26,0.51,8.9,6,1
8.3,0.715,0.15,1.8,0.08900000000000001,52.0,0.9968,3.23,0.77,9.5,5,0
7.2,0.24,0.36,2.0,0.028999999999999998,63.0,0.9907600000000001,3.13,0.63,12.5,6,1
7.0,0.32,0.35,1.5,0.039,125.0,0.9918,3.17,0.64,12.2,6,1
7.0,0.735,0.05,2.0,0.081,54.0,0.9966,3.39,0.57,9.8,5,0
6.5,0.26,0.43,8.9,0.083,171.0,0.9965,2.85,0.5,9.0,5,1
7.5,0.24,0.31,13.1,0.05,180.0,0.99884,3.05,0.53,9.1,6,1
7.3,0.25,0.29,7.5,0.049,158.0,0.9965,3.43,0.38,9.6,5,1
6.3,0.17,0.32,4.2,0.04,117.0,0.99182,3.24,0.43,11.3,6,1
8.6,0.53,0.22,2.0,0.1,27.0,0.9967,3.2,0.56,10.2,6,0
10.0,0.69,0.11,1.4,0.084,24.0,0.9957799999999999,2.88,0.47,9.7,5,0
6.6,0.37,0.47,6.5,0.061,150.0,0.9954,3.14,0.45,9.6,6,1
7.15,0.17,0.24,9.6,0.11900000000000001,178.0,0.9957799999999999,3.15,0.44,10.2,6,1
7.6,0.31,0.52,13.2,0.042,148.0,0.99839,2.98,0.47,9.1,6,1
7.2,0.48,0.07,5.5,0.08900000000000001,18.0,0.99684,3.37,0.68,11.2,7,0
6.8,0.24,0.31,18.3,0.046,142.0,1.0,3.3,0.41,8.7,5,1
8.3,0.23,0.43,3.2,0.035,101.0,0.9928,3.15,0.36,11.5,5,1
6.8,0.22,0.35,5.5,0.043,114.0,0.9938,3.3,0.53,10.7,7,1
12.2,0.48,0.54,2.6,0.085,64.0,1.0,3.1,0.61,10.5,6,0
6.9,0.25,0.24,1.8,0.053,121.0,0.993,3.23,0.7,11.4,5,1
12.9,0.35,0.49,5.8,0.066,35.0,1.0014,3.2,0.66,12.0,7,0
7.4,0.16,0.49,1.2,0.055,150.0,0.9917,3.23,0.47,11.2,6,1
6.4,0.475,0.06,1.0,0.03,131.0,0.9904,2.97,0.29,10.8,5,1
7.1,0.35,0.27,3.1,0.034,134.0,0.9897,3.26,0.38,13.1,7,1
7.1,0.39,0.39,11.1,0.034,204.0,0.99616,3.05,0.52,10.0,6,1
9.8,1.24,0.34,2.0,0.079,151.0,0.998,3.15,0.53,9.5,5,0
6.7,0.22,0.37,1.6,0.027999999999999997,102.0,0.9913,3.29,0.59,11.6,7,1
10.0,0.44,0.49,2.7,0.077,19.0,0.9963,3.23,0.63,11.6,7,0
5.6,0.41,0.24,1.9,0.034,53.0,0.98815,3.32,0.5,13.5,7,1
5.7,0.22,0.2,16.0,0.044000000000000004,113.0,0.9986200000000001,3.22,0.46,8.9,6,1
7.2,0.31,0.26,7.3,0.05,157.0,0.99625,3.09,0.43,9.0,5,1
6.7,0.39,0.24,2.7,0.017,80.0,0.9908399999999999,3.03,0.37,11.5,5,1
7.4,0.19,0.31,14.5,0.045,193.0,0.9986,3.1,0.5,9.2,6,1
8.3,1.02,0.02,3.4,0.084,11.0,0.99892,3.48,0.49,11.0,3,0
9.4,0.685,0.26,2.4,0.08199999999999999,143.0,0.9978,3.28,0.55,9.4,5,0
8.4,0.3,0.25,17.75,0.047,218.0,1.00016,2.98,0.66,9.1,5,1
6.4,0.38,0.24,7.2,0.047,151.0,0.9960399999999999,3.11,0.6,9.2,5,1
5.6,0.225,0.24,9.8,0.054000000000000006,140.0,0.99545,3.17,0.39,10.2,6,1
7.1,0.26,0.19,8.2,0.051,187.0,0.996,3.16,0.52,9.7,5,1
6.5,0.18,0.31,1.7,0.044000000000000004,127.0,0.9928,3.49,0.5,10.2,7,1
6.3,0.51,0.13,2.3,0.076,40.0,0.99574,3.42,0.75,11.0,6,0
7.0,0.31,0.26,7.4,0.069,160.0,0.9954,3.13,0.46,9.8,6,1
7.3,0.25,0.26,7.2,0.048,207.0,0.99587,3.12,0.37,9.2,5,1
6.6,0.58,0.0,2.2,0.1,63.0,0.99544,3.59,0.68,11.4,6,0
